Capital/Major City,Country
Kabul,Afghanistan
Tirana,Albania
Algiers,Algeria
Andorra la Vella,Andorra
Luanda,Angola
"St. John's, Saint John",Antigua and Barbuda
Buenos Aires,Argentina
Yerevan,Armenia
Canberra,Australia
Vienna,Austria
Baku,Azerbaijan
"Nassau, Bahamas",The Bahamas
Manama,Bahrain
Dhaka,Bangladesh
Bridgetown,Barbados
Minsk,Belarus
City of Brussels,Belgium
Belmopan,Belize
Porto-Novo,Benin
Thimphu,Bhutan
Sucre,Bolivia
Sarajevo,Bosnia and Herzegovina
Gaborone,Botswana
Brasilia,Brazil
Bandar Seri Begawan,Brunei
Sofia,Bulgaria
Ouagadougou,Burkina Faso
Bujumbura,Burundi
Yamoussoukro,Ivory Coast
Praia,Cape Verde
Phnom Penh,Cambodia
Yaounde,Cameroon
Ottawa,Canada
Bangui,Central African Republic
N'Djamena,Chad
Santiago,Chile
Beijing,China
Bogota,Colombia
"Moroni, Comoros",Comoros
Brazzaville,Republic of the Congo
San Jose,Costa Rica
Zagreb,Croatia
Havana,Cuba
Nicosia,Cyprus
Prague,Czech Republic
Kinshasa,Democratic Republic of the Congo
Copenhagen,Denmark
Djibouti City,Djibouti
Roseau,Dominica
Santo Domingo,Dominican Republic
Quito,Ecuador
Cairo,Egypt
San Salvador,El Salvador
Malabo,Equatorial Guinea
Asmara,Eritrea
Tallinn,Estonia
Mbabane,Eswatini
Addis Ababa,Ethiopia
Suva,Fiji
Helsinki,Finland
Paris,France
Libreville,Gabon
Banjul,The Gambia
Tbilisi,Georgia
Berlin,Germany
Accra,Ghana
Athens,Greece
"St. George's, Grenada",Grenada
Guatemala City,Guatemala
Conakry,Guinea
Bissau,Guinea-Bissau
"Georgetown, Guyana",Guyana
Port-au-Prince,Haiti
Vatican City,Vatican City
Tegucigalpa,Honduras
Budapest,Hungary
Reykjavik,Iceland
New Delhi,India
Jakarta,Indonesia
Tehran,Iran
Baghdad,Iraq
Dublin,Republic of Ireland
Jerusalem,Israel
Rome,Italy
"Kingston, Jamaica",Jamaica
Tokyo,Japan
Amman,Jordan
Astana,Kazakhstan
Nairobi,Kenya
South Tarawa,Kiribati
Kuwait City,Kuwait
Bishkek,Kyrgyzstan
Vientiane,Laos
Riga,Latvia
Beirut,Lebanon
Maseru,Lesotho
Monrovia,Liberia
,Libya
Vaduz,Liechtenstein
Vilnius,Lithuania
Luxembourg City,Luxembourg
Antananarivo,Madagascar
Lilongwe,Malawi
Kuala Lumpur,Malaysia
Male,Maldives
Bamako,Mali
Valletta,Malta
Majuro,Marshall Islands
Nouakchott,Mauritania
Port Louis,Mauritius
Mexico City,Mexico
Palikir,Federated States of Micronesia
Chisinau,Moldova
Monaco City,Monaco
Ulaanbaatar,Mongolia
Podgorica,Montenegro
Rabat,Morocco
Maputo,Mozambique
Naypyidaw,Myanmar
Windhoek,Namibia
Yaren District,Nauru
Kathmandu,Nepal
Amsterdam,Netherlands
Wellington,New Zealand
Managua,Nicaragua
Niamey,Niger
Abuja,Nigeria
Pyongyang,North Korea
Skopje,North Macedonia
Oslo,Norway
Muscat,Oman
Islamabad,Pakistan
Ngerulmud,Palau
,Palestinian National Authority
Panama City,Panama
Port Moresby,Papua New Guinea
Asuncion,Paraguay
Lima,Peru
Manila,Philippines
Warsaw,Poland
Lisbon,Portugal
Doha,Qatar
Bucharest,Romania
Moscow,Russia
Kigali,Rwanda
Basseterre,Saint Kitts and Nevis
Castries,Saint Lucia
Kingstown,Saint Vincent and the Grenadines
Apia,Samoa
City of San Marino,San Marino
Sao Tome,Sao Tome and Principe
Riyadh,Saudi Arabia
Dakar,Senegal
Belgrade,Serbia
"Victoria, Seychelles",Seychelles
Freetown,Sierra Leone
,Singapore
Bratislava,Slovakia
Ljubljana,Slovenia
Honiara,Solomon Islands
Mogadishu,Somalia
Pretoria,South Africa
Seoul,South Korea
Juba,South Sudan
Madrid,Spain
Colombo,Sri Lanka
Khartoum,Sudan
Paramaribo,Suriname
Stockholm,Sweden
Bern,Switzerland
Damascus,Syria
Dushanbe,Tajikistan
Dodoma,Tanzania
Bangkok,Thailand
Dili,East Timor
Lome,Togo
Nukualofa,Tonga
Port of Spain,Trinidad and Tobago
Tunis,Tunisia
Ankara,Turkey
Ashgabat,Turkmenistan
Funafuti,Tuvalu
Kampala,Uganda
Kyiv,Ukraine
Abu Dhabi,United Arab Emirates
London,United Kingdom
"Washington, D.C.",United States
Montevideo,Uruguay
Tashkent,Uzbekistan
Port Vila,Vanuatu
Caracas,Venezuela
Hanoi,Vietnam
Sanaa,Yemen
Lusaka,Zambia
Harare,Zimbabwe
